,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,RunTime,Overview
127,Adhe Kangal,Action,7.3,Rohin Venkatesan,R. Aravindraj,961,2017,120,"What begins as a love triangle morphs into a thriller, following an accident - and an abduction."
128,Bairavaa,Action,5.9,Bharathan,Joseph Vijay,"7,376",2017,169,"Bairavaa, a gallant debt collector, takes on a violent criminal masquerading as a philanthropist in the education field."
129,Lens,Drama,6.9,Jayaprakash Radhakrishnan,Anand Sami,942,2017,109,"Video chat session: Watch me die, LIVE!"
130,Aruvi,Drama,8.6,Arun Prabhu Purushothaman,Aditi Balan,"9,890",2017,130,A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.
131,Sangu Chakkaram,Comedy,6.2,Maarison,Punnagai Poo' Geetha,32,2017,124,Kids Satire Fantasy Horror.
132,Ulkuththu,Thriller,6.7,Caarthick Raju,Dr. Chef Damodaran,,2017,127,"Ulkuthu is set in a small coastal town which is ruled by Kaka Mani (Sharath Lohitashwa) and his brother Saravanan (Dhilip Subbarayan), loansharks who deal in blood and blows when their debtors don't pay on time."
133,Balloon,Horror,4.6,Sinish,Anjali,274,2017,146,Jeeva heads to a haunted house in Ooty where strange events start unfolding around him. The answer to which may lie in his past.
134,Kalavaadiya Pozhuthugal,Romance,6.1,Thangar Bachan,Bhoomika Chawla,48,2017,154,"A student of masters degree and ditched by a rich girl, Jayanthi (Bhumika Chawla), Porchezhiyan vanishes from her life for many years before a chance meeting with her opens up old wounds and painful memories of a romance all gone wrong."
135,Velaikkaran,Action,7.3,Mohan Raja,Sivakarthikeyan,"2,984",2017,160,A youngster from the slums battles against food adulteration by the company that employs him.
136,Sakka Podu Podu Raja,Action,4.2,G.L. Sethuraman,Aryan,357,2017,129,Santa helps a gangster Bhavani's sister elope with her lover enraging him and unknowingly falls in love with Bhavani's younger sister.
137,Brahma.com,Action,5.1,P.S. Vijayakumar,Bhagyaraj,64,2017,129,"Kameshwaran, a production manager in a company, prays to the God of creation, Brahma to change the past and make him the CEO of his company."
138,Chennai 2 Singapore,Comedy,6.1,See full summary,Abbas Akbar,137,2017,122,"The film's story is said to be a romantic comedy about a struggling Indian filmmaker, Harish, who makes his way to Singapore to look for investors to finance his dream movie. A series of ...                See full summary »"
139,12/12/1950,Comedy,5.4,Selvaah,Yogi Babu,,2017,129,The movie is a tribute to the film actor Rajinikanth.
140,Kodiveeran,Action,4.8,M. Muthaiya,Gnanasambandam,117,2017,155,"Kodi, a 'Saamiyaadi' by profession, takes the responsibility of saving his sister and brother-in-law who is against Villangam and Adhigaaram, from their anger and retaliation."
141,Richie,Action,5.3,Gautham Ramachandran,Nivin Pauly,706,2017,111,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it."
142,Annadurai,Action,5.3,G. Srinivasan,Vijay Antony,213,2017,129,"Two brothers, Annadurai and Thambidurai, living in the same small town developme vastly different personalities."
143,Thiruttu Payale 2,Thriller,6.7,Susi Ganesan,Bobby Simha,658,2017,147,A police inspector investigates a guy who traps innocent women on Facebook.
144,English Padam,Comedy,1.2,Kumaresh Kumar,Sreeja Das,24,2017,126,English Padam (Aangila padam) is the story of a man trapped in a web of crime and his attempt to get out of the dangerous situation.
145,Indrajith,Action,3.3,Kalaprabhu Thanu,Gautham Karthik,150,2017,116,Indrajith heads to the forests of north eastern India in search of a precious stone.
146,En Aaloda Seruppa Kaanom,Comedy,5.0,Jagan,K.P. Jagan,61,2017,127,Its a Tamil comedy where Tamizh tries to find the missing sandals of the girl he is in love with hoping that it would reunite her with her father.
147,Theeran Adhigaram Ondru,Action,8.2,H. Vinoth,Karthi,"8,685",2017,157,"Theeran, a police officer, tries to decode a series of cold blood events based on same pattern."
148,C/o Surya,Action,5.6,Suseenthiran,Sundeep Kishan,175,2017,133,An easygoing youngster's life is disturbed with the entry of a local don.
149,Ippadai Vellum,Action,5.7,Gaurav Narayanan,Udhayanidhi Stalin,272,2017,139,"A software engineer, whose weapon against impossible challenges in life is his intelligence."
150,Aramm,Drama,7.8,Gopi Nainar,Nayanthara,"1,411",2017,119,A District Collector in India deals with water shortage problems in a village when she comes to realize that people are suffering a lot.
151,The House Next Door,Horror,6.8,Milind Rau,Prakash Belawadi,"1,854",2017,137,"A young married couple begin to encounter several paranormal attacks, when a family moves into a neighbouring house, that is being haunted by a vengeful spirit, which leads them to perform an exorcism in order to help save the neighbours."
152,Vizhithiru,Drama,5.9,Meera Kathiravan,Abhinaya,103,2017,127,"Over the course of one night, a car ride connects a string of people."
153,Kadaisi Bench Karthi,Comedy,4.1,Ravee Paargavan,Gnanasambandam,36,2017,114,This Tamil-Telugu bilingual comedy showcases the effect that a smart phone can have on a loving relationship.
154,Mersal,Action,7.7,Atlee Kumar,Joseph Vijay,"23,383",2017,172,A magician and a doctor attempt to expose the corruption at the heart of India's medical industry.
155,Meyaadha Maan,Romance,7.2,Rathna Kumar,Vaibhav Reddy,870,2017,147,A one side lover frightened to tell his love to his girl. Later he was convinced by his friends that they loved each other.
156,Solo,Action,7.1,Bejoy Nambiar,Dulquer Salmaan,"2,772",2017,154,"An anthology, telling the story of four different people, each story revolving around four different elements: Earth, Fire, Wind and Water."
157,Hara Hara Mahadevaki,Comedy,5.3,Santhosh P. Jayakumar,Kovai Babu,450,2017,140,"A coming-of-age film that centres on a loving couple. The film follows the couple's romantic relationship and eventually, their breakup with each other."
158,Karuppan,Action,5.6,R. Panneerselvam,Sami Rajalingam,520,2017,144,"Kathir (Bobby Simha) has an interest for Anbu (Tanya Ravichandran), but due to family situations, she gets hitched to Karuppan (Vijay Sethupathi). What does Kathir do, to separate Karuppan and Anbu, and does he finally get to marry Anbu?"
159,Spyder,Action,6.6,A.R. Murugadoss,Mahesh Babu,"8,652",2017,155,An intelligence officer attempts to save the city from a psychotic serial killer who kills people just to hear their loved ones cry.
160,Bayama Irukku,Comedy,5.3,Jawahar,Santhosh Prathap,70,2017,122,"After a group of friends discovers that one of their friends is facing problems with his wife, who they believe is possessed by a ghost, they try to save him with the help of an exorcist."
161,Aayirathil Iruvar,Action,4.6,Saran,Vinay Rai,,2017,158,"Written, directed and produced by Saran, the movie features Vinay in dual lead roles, accompanied by three newcomers: Samuthrika, Swasthika and Kesha Khambhati. It focuses on a large scale money laundering and hawala money transaction."
162,Kalavu Thozhirchalai,Thriller,5.9,See full summary,T. Krishnasamy,25,2017,138,An idol smuggler comes to a village to steal a Shiva idol worth 600 crores. The story begins with an international criminal (Vamsi Krishna) An idol smuggler comes to a village to steal a ...                See full summary »
163,Konjam konjam,Family,6.1,Add a Plot,Uday Sankaran,10,2017,123,Add a Plot
164,Veedevadu,Thriller,5.5,Tatineni Satya,Esha Gupta,44,2017,125,A Kabaddi player ends up in a prison after being accused of killing his girlfriend.
165,Thupparivaalan,Action,7.5,Myshkin,Vishal,"3,405",2017,151,A private detective ends up unraveling a large conspiracy while investigating the disappearance of a child's pet dog.
166,Kathanayagan,Comedy,4.2,Tha. Muruganatham,Meera Krishna,,2017,122,"The romantic comedy stars Vishnu and Catherine Tresa as a loving couple. Vishnu's character faces a problem, however, as he has to try hard to win the approval of his girlfriend's father."
167,Neruppu Da,Action,4.3,Nikki Galrani,Nagineedu,,2017,127,"Vikram Prabhu stars as a firefighter, who is also a hardcore Rajinikanth fan, in this thriller-drama movie directed by B. Ashok Kumar."
168,Kurangu Bommai,Drama,8.1,Nithilan,Vidharth,"1,093",2017,106,"A loyal worker, Sundaram takes orders from his boss Ekamabaram, even when Ekamabaram asks Sundaram to smuggle a valuable idol in his car."
169,Maayavan,Action,7.3,C.V. Kumar,Sundeep Kishan,"1,468",2017,129,"A police officer is on a mission to nab a criminal,who does murder in a same mysteric pattern."
170,Puriyaatha Puthir,Thriller,6.6,Ranjit Jeyakodi,Vijay Sethupathi,771,2017,140,A man's romance with a music teacher becomes dramatic as he begins receiving anonymous videos of her.
171,Vivegam,Action,5.6,Siva,Ajith Kumar,"10,389",2017,149,An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.
172,Thappu Thanda,Crime,6.0,Srikantan,Ajay Ghosh,42,2017,146,Vetri an unemployed youth joins a burglar's club. He is deemed a dud who is used anyway in their one last robbery of Rs 5 crores from an Ex-MLA.
173,Taramani,Drama,7.5,Ram,Anjali,"1,252",2017,150,"An orthodox youngster and a free-spirited lady fall in love, only to understand that they are different in all aspects of life. How do they realise their complex requirements and mistakes?"
174,Velaiyilla Pattathari 2,Action,5.4,Soundarya R. Ashwin,Riaz Ahmed,"1,783",2017,128,"A cool-headed crusader for the struggling engineers, Raghuvaran faces the powerful and arrogant owner of a construction company Vasundhara Parameswaran, as they engage in a battle to win the corporate game."
175,Podhuvaga En Manasu Thangam,Comedy,3.8,Thalapathy Prabhu,Parthiban,115,2017,137,"Set in a village in Tamil Nadu, Ganesh and Oothukaattan are two very different men who oppose each other."
176,Kootathil Oruthan,Comedy,6.7,T.J. Gnanavel,Ashok Selvan,363,2017,120,"Arvind, an ordinary Joe who is not noticed by any, be it at home, school or among friends falls in love with Janani, a class topper and an all-rounder who excels in sports and extra-curricular activities."
177,Nibunan,Action,6.6,Arun Vaidyanathan,Varalaxmi Sarathkumar,782,2017,127,"Along with his partners Inspector Joseph and Vandhana, DSP Ranjith Kalidoss attempts to hunt down a psychotic killer before realizing he's himself suffering from an unwanted disorder."
178,Meesaya murukku,Biography,7.6,Hiphop Tamizha Adhi,Hiphop Tamizha Adhi,"1,869",2017,131,"A semi-biopic of how India's first Tamil Hip-Hop band, Hip-hop Tamizha came to be and the struggles frontman Adhi faced in life, both in personal and professional frontiers."
179,Vikram Vedha,Action,8.7,Gayatri,Pushkar,"23,249",2017,147,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
180,Rubaai,Action,6.1,M. Anbazhagan,Anandhi,,2017,119,A criminal is after four people who steal his loot.
181,Magalir Mattum,Drama,6.3,Bramma G.,Jyotika,455,2017,140,Three best friends from school reunite after 36 years.
182,Pandigai,Action,6.5,Feroz,Kreshna,245,2017,150,"A low-level hotel worker gets involved in a street fighting racket on the advice of a compulsive gambler. When the duo realise they have been duped by the gangster controlling the racket, they decided to rob him."
183,Thiri,Drama,5.2,Ashok Amritharaj S.,A.L. Azhagappan,,2017,130,An engineer student gets in trouble with a politician's son and this affects his studies and causes lots of troubles in his path.
184,Gemini Ganesanum Suruli Rajanum,Comedy,5.8,Ilavarasu Odam,Regina Cassandra,387,2017,134,A playboy falls truely for a woman and decides to get married to her. She puts forth an uphill task for him - to confront his ex-flames.
185,Chennaiyil Oru Naal 2,Thriller,4.6,Jpr,Sarath Kumar,84,2017,101,The secrets of two bad guys end up destroying them both physically and psychologically.
186,Ivan Thanthiran,Action,6.3,R. Kannan,RJ Balaji,,2017,114,Two engineering dropouts stumble upon the activities of a corrupt education minister owning engineering colleges and expose him. The minister wants revenge and launches a manhunt for them. The cat-and-mouse game begins.
187,Adhagappattathu Magajanangalay,Comedy,5.0,See full summary,Inbasekhar,,2017,116,"Son of a tabla player loses his guitar while he goes to help his friend, a security guard. A burglary attempt takes place and he is worried that he will be caught since the guitar contains ...                See full summary »"
188,Yaanum Theeyavan,Action,6.1,See full summary,Prashanth G Sekar,,2017,106,"This movie claims to represent a number of true events that have actually happened. Put together under one shell with imaginative screenplay and characters, the story revolves around 3 ...                See full summary »"
189,Vanamagan,Action,5.5,A.L. Vijay,Arjun,599,2017,141,A jungle-dweller finds himself in the city.
190,Anbanavan Asaradhavan Adangadhavan,Action,2.3,Adhik Ravichandran,Tamannaah Bhatia,510,2017,160,"A local gangster in Madurai bids adeiu to his past life. Years later in his late 50's, he falls in love with a girl which changes his life"
