,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,RunTime,Overview
236,Kuttrame Thandanai,Crime,7.8,M. Manikandan,Vidharth,,2016,100,A young man with a visual impairment uses his other heightened senses to unravel a murder mystery.
237,Dharmadurai,Drama,7.5,Seenu Ramasamy,Vijay Sethupathi,"1,568",2016,147,A doctor in a village redeems himself after losing his way.
238,Joker,Comedy,8.4,Raju Murugan,Raju Saravanan,"2,830",2016,130,"Mannar (protagonist), a villager who declares himself to be the Indian President, protests the absurdities of the government."
239,Kabali,Action,6.2,Pa. Ranjith,Rajinikanth,"11,149",2016,153,"Returning from prison, aged gangster Kabali confronts those who had destroyed his life. While doing so, he learns about what had happened to his family when he was gone."
240,Metro,Action,7.3,Ananda Krishnan,Shirish,697,2016,119,"A young college student drawn into worldly pleasures joins a chain-snatching gang. Unaware of this, his elder brother teams up with a friend to bring down the gang and rising crime rate."
241,Iraivi,Crime,8.0,Karthik Subbaraj,S.J. Suryah,"2,736",2016,160,A drama about an alcoholic filmmaker and his friends who bring trouble to the women in their lives.
242,Uriyadi,Action,8.1,Vijay Kumar,Vijay Kumar,"1,878",2016,90,Four friends studying in an engineering college unintentionally end up becoming a part of caste politics led by corrupt politicians.
243,24,Action,7.8,Vikram K. Kumar,Suriya,"15,774",2016,164,"A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son."
244,Theri,Action,7.1,Atlee Kumar,Joseph Vijay,"12,365",2016,157,"When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces."
245,Oopiri,Comedy,8.0,Vamshi Paidipally,Nagarjuna Akkineni,"3,915",2016,158,"Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other."
246,Kadhalum Kadanthu Pogum,Comedy,7.3,Nalan Kumarasamy,Vijay Sethupathi,"2,407",2016,136,"An unlikely romance brews between a tough-acting thug with a tender heart, and a recently single, IT consultant neighbor, in this lighthearted and wacky twist of a romantic comedy."
247,Pichaikkaran,Action,7.6,Sasi,Vijay Antony,"1,437",2016,130,"A rich businessman chooses to lead the life of a homeless beggar for a period of 48 days in the hopes that he could cure his mother, who is on the brink of death."
248,Saala Khadoos,Action,7.6,Sudha Kongara,Madhavan,"10,941",2016,109,The story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her.
249,Rajini Murugan,Action,5.7,Ponram,Sivakarthikeyan,"1,322",2015,149,A jobless youth and his best friend try to earn some cash in Madurai while trying to solve the dispute that plagues his family.
250,Visaaranai,Crime,8.5,Vetrimaaran,Dinesh,"6,219",2015,117,Four labourers are tortured by the police to confess to a theft they have not committed.
251,Pasanga 2,Drama,7.5,Pandiraj,Suriya,"1,031",2015,127,"It focuses on the issue of Attention Deficit Hyperactive Disorder (ADHD) among children, and the impact of the disorder on their lives and people around them."
252,Thoongaavanam,Action,7.0,Rajesh M. Selva,Kamal Haasan,"1,819",2015,128,"A cop with a connection to the criminal underworld finds his secret life exposed when he and his partner are caught stealing cocaine from a powerful drug dealer, a move that puts his son's life in jeopardy."
253,Naanum Rowdy Thaan,Action,7.3,Vignesh Shivan,Vijay Sethupathi,"3,354",2015,139,A wannabe rowdy who falls for a hearing-impaired girl faces a dilemma when the girl makes a shocking request.
254,Kuttram Kadithal,Drama,8.0,Bramma G.,Master Ajay,665,2015,120,A teacher gets into trouble and faces a crisis of faith.
255,Kirumi,Crime,7.0,See full summary,Anucharan,,2015,104,"Kathir is a selfish youth in search of a job. Despite being married and having a child, he is waiting for a job offer that he feels meets his standards. Meanwhile, his wife Anitha is the ...                See full summary »"
256,Maya,Horror,7.6,Ashwin Saravanan,Nayanthara,"1,302",2015,141,"A woman takes on the challenge of watching a horror film, alone in a theatre."
257,Thani Oruvan,Action,8.4,Mohan Raja,Jayam Ravi,"15,421",2015,160,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him."
258,Papanasam,Drama,8.4,Jeethu Joseph,Kamal Haasan,"5,295",2015,179,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
259,Indru Netru Naalai,Comedy,8.0,R. Ravikumar,Vishnu Vishal,"3,339",2015,146,"Elango and his friend Pulivetti Arumugam come in possession of a time machine and start profiting from it. However, their meddling with time prevents the death of a gangster, who begins to wreck havoc in their lives."
260,Demonte Colony,Horror,6.9,R. Ajay Gnanamuthu,Arulnithi,"1,725",2015,116,"After consuming liquor, four friends decide to do something interesting and visit a haunted bungalow. However, they do not realize that they have returned home with an evil spirit."
261,36 Vayadhinile,Drama,7.1,Roshan Andrews,Jyotika,647,2015,115,A 36 years old woman rediscovers her lost charisma while overcoming profound odds from a patriarchal society.
262,Uttama Villain,Comedy,7.2,Ramesh Aravind,Kamal Haasan,"2,561",2015,171,"Manoranjan, a superstar, is counting his last days due to brain tumor. How he goes about his final wish of doing a comedy film with his mentor Margadarsi forms the crux of the story."
263,Kanchana 2,Comedy,5.5,Lawrence Raghavendra,Lawrence Raghavendra,"1,261",2015,166,"A couple of revenge seeking ghosts haunts an innocent man, and the people surrounding him, to get justice for their murders."
264,OK Kanmani,Romance,7.4,Mani Ratnam,Dulquer Salmaan,"4,611",2015,139,"Two young lovers are compatible in every way - they even agree that marriage is futile. However, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live."
265,Rajathandhiram,Action,7.7,A.G. Amid,Veera Bahu,"1,154",2015,132,Small-time criminals plan a big-time heist. Will they be successful in their attempt ?
266,Enakkul Oruvan,Thriller,7.7,Prasad Ramar,Siddharth,"1,456",2015,136,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality."
267,Press 1 for Tamil,Comedy,7.0,Ramprakash Rayappa,Nakhul,850,2015,141,"When mobile networks stop functioning due to a solar flare, Vasanth, a geek, tries to restore them. But a deadly bomb will be activated if the connection is resumed."
268,Yennai Arindhaal,Action,7.3,Gautham Vasudev Menon,Ajith Kumar,"7,740",2015,168,"Sathyadev, a sincere police officer, tries to stop an organ trafficking racket. But he is unaware that the man performing the illegal trade is the same person who killed his beloved."
269,I,Action,7.3,S. Shankar,Vikram,"18,345",2015,188,"A mysterious hunchback abducts a bride on the day of her wedding, holding her hostage as he goes on a revenge spree."
270,Kaakkaa Muttai,Comedy,8.4,M. Manikandan,Ramesh,"5,011",2014,91,Two slum kids want nothing more than a slice of pizza.
271,Kayal,Romance,6.4,Prabu Solomon,Chandran,320,2014,139,"A guy falls in love with a girl at first sight. When the girl develops feelings for the guy, he departs. Are they destined to meet again?"
272,Pisasu,Horror,7.6,Myshkin,Naga,"1,658",2014,114,A violinist experiences paranormal experience in his flat after a death of a girl who he tries to save due to accident. Later he realises that actually the spirit is helping him and he tries to find out who killed the girl by accident.
273,Lingaa,Action,5.6,K.S. Ravikumar,Rajinikanth,"4,807",2014,174,A small-time thief reforms after learning about the role played by his grandfather in building a dam.
274,Kaaviya Thalaivan,Drama,7.6,Vasanthabalan,Siddharth,"1,133",2014,150,Two theater artists compete in a small drama troupe.
275,Kaththi,Action,7.9,A.R. Murugadoss,Joseph Vijay,"16,760",2014,166,"Jeevanandham is a social activist who fights against a monstrous MNC company to restore farming. Because of destiny, Kathiresan impersonates Jeevanandham and leads the war."
276,Jeeva,Drama,7.5,Suseenthiran,Vishnu Vishal,944,2014,127,"Right from his childhood, the motherless Jeeva grows with his focus fully on Cricket. However, it is never smooth sailing for him with disruptions coming in various forms ranging from his love life to team selection politics."
277,Madras,Action,8.0,Pa. Ranjith,Karthi,"3,102",2014,156,"A wall creates perturbation between two factions of a political party. Kaali and his buddy Anbu, who is a political aspirant, get embroiled in this brutal political rivalry."
278,Kathai Thiraikathai Vasanam Iyakkam,Drama,6.8,Parthiban,Thambi Ramaiah,586,2014,128,"Amidst his personal struggles, Tamizh calls his friends - a DOP, a director-wannabe with 40 years of industry experience and three young Assistant directors, for a discussion to develop a script for his first film."
279,Jigarthanda,Action,8.3,Karthik Subbaraj,Siddharth,"9,578",2014,171,"An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan."
280,Velaiilla Pattadhari,Action,7.8,Velraj,Dhanush,"5,039",2014,133,A jobless young man gets to redeem himself.
281,Sathuranga Vettai,Crime,8.1,H. Vinoth,Nataraja Subramanian,"2,409",2014,145,"Ace conman Gandhi effortlessly thinks up schemes to swindle gullible and greedy folks. However on a rare occasion, things don't go according to plan and he ends up in the clutches of a ruthless gang who demand schemes from him for money."
282,Saivam,Drama,6.8,A.L. Vijay,Nassar,,2014,120,Members of a family gather as a sacrificial rooster goes missing.
283,Mundaasupatti,Comedy,7.6,Ram Kumar,Vishnu Vishal,"1,118",2014,148,A photographer gets into trouble in a village where photography is banned.
284,Kochadaiiyaan,Animation,6.3,Soundarya R. Ashwin,Rajinikanth,"4,692",2014,124,A saga of revenge undertaken by a son for his father's name and his kingdom.
285,Vaayai Moodi Pesavum,Comedy,6.7,Balaji Mohan,Dulquer Salmaan,"1,448",2014,140,What if an entire town stopped speaking?
286,Cuckoo,Drama,7.8,Raju Murugan,Dinesh,617,2014,155,A blind boy faces trouble when he falls for a blind girl.
287,Thegidi,Crime,7.8,P. Ramesh,Ashok Selvan,,2014,126,"A plainclothe officer falls in the hands of phony agents ,which sets off repercussion ending in series of a massacre events."
288,Pannaiyarum Padminiyum,Comedy,7.8,S.U. Arun Kumar,Vijay Sethupathi,"1,375",2014,151,The warm love story of a landlord and his wife (and their car).
289,Goli Soda,Action,7.7,Vijay Milton,Kishore Kumar G.,905,2014,111,Four adolescent boys fall prey of a baddie and things turn ugly.
290,Veeram,Action,6.5,Siva,Ajith Kumar,"6,655",2014,161,"Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family."
291,Thalaimuraigal,Drama,7.6,Balu Mahendra,Karthick,,2013,181,"Subbu, a snobbish old man, is estranged from his son, when he marries a girl from another caste. But, his perspective on life begins to change, when his grandson comes to stay with him in the village."
292,Biriyani,Action,5.7,Venkat Prabhu,Karthi,"1,272",2013,148,A drive on the highway lands two friends in serious trouble.
293,Ivan Veramaathiri,Action,6.0,M. Saravanan,Vikram Prabhu,290,2013,150,A young vigilante takes on a rowdy and suffers the consequences.
294,Kalyana Samayal Saadham,Comedy,7.1,R.S. Prasanna,Prasanna,,2013,115,An arranged marriage is interrupted by a rather personal problem.
295,Vidiyum Munn,Thriller,7.3,See full summary,Balaji K. Kumar,,2013,129,"It's about Four Formidable Men, who, for Three Different Reasons are chasing after Two Women in One Day. Who are these men? How are they connected to each other? What are their reasons to ...                See full summary »"
296,Irandam Ulagam,Action,5.7,K. Selvaraghavan,Arya,"1,101",2013,158,Two parallel love stories on two planets.
297,Pandiya Naadu,Action,7.2,Suseenthiran,Vishal,"1,168",2013,144,A man goes against a mafia gang to avenge his brother's death.
298,Arrambam,Action,7.0,Vishnuvardhan,Ajith Kumar,"8,415",2013,157,A mysterious man along with a young computer hacker tries to unveil a major government conspiracy which resulted in several bloody deaths.
299,Onaayum Aattukkuttiyum,Action,8.2,Myshkin,Myshkin,"2,181",2013,141,"A kid saves a dangerous dying fugitive and triggers off a chase between the hunter and the hunted and soon, the definitions blur."
300,Raja Rani,Comedy,7.6,Atlee Kumar,Arya,"4,088",2013,160,"John and Regina, who dislike each other, are forced to get married and lead troubled lives. However, things take a turn when the couple suffers a sudden tragedy."
301,6 Candles,Thriller,7.0,V.Z. Dhorai,Sandra Amy,,2013,129,A father travels across six states to try and solve the mystery of his son's disappearance.
302,Moodar Koodam,Comedy,7.7,See full summary,Naveen,"1,081",2013,131,"Four penniless, down-and-out youngsters plan to rob the house of a wealthy businessman believing that the family is out on a pilgrimage. But when they break into the house, nothing goes as ...                See full summary »"
303,Varuthapadatha Valibar Sangam,Comedy,6.7,Ponram,Sivakarthikeyan,"1,352",2013,160,An aimless youth falls for a girl with a trigger-happy father.
304,Thanga Meengal,Drama,7.9,Ram,Ram,791,2013,140,"A poor man wants his daughter to be happy, no matter what comes through."
305,Aadhalal Kadhal Seiveer,Romance,7.2,Suseenthiran,Santhosh Ramesh,,2013,106,"A love affair begins harmless, but it later turns out to be a huge problem for the pair."
306,Ainthu Ainthu Ainthu,Action,5.6,See full summary,Sasi,326,2013,147,"Aravind (Bharath) loses his girl friend Liyana (Mirthika) in a car accident and he lives with her memories. But, people around him try to make him believe that he is just hallucinating and ...                See full summary »"
307,Maryan,Adventure,7.1,Ganapathy Bharat,Dhanush,"2,761",2013,150,A contract worker in Sudan is abducted by mercenaries and his lover in India awaits his return.
308,Singam 2,Action,6.3,Hari,Suriya,"5,369",2013,166,Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.
309,Theeya Velai Seiyyanum Kumaru,Comedy,6.1,Sundar C.,Siddharth,"1,320",2013,130,"A shy, introvert tries to impress a girl with the help of a love guru."
310,Neram,Action,7.5,Alphonse Puthren,Nivin Pauly,"4,292",2013,117,Can a young man escape from the clutches of a loan shark on time?
311,Soodhu Kavvum,Comedy,8.3,Nalan Kumarasamy,Vijay Sethupathi,"8,307",2013,135,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case."
312,Ethir Neechal,Comedy,6.8,R.S. Durai Senthilkumar,Sivakarthikeyan,"1,747",2013,129,A young man opts to run a marathon to prove himself.
313,Kedi Billa Killadi Ranga,Comedy,5.5,Pandiraj,Vimal,578,2013,135,"The story of two loafing friends, who want to enter politics."
314,Paradesi,Drama,8.0,Bala,Atharvaa Murali,"1,644",2013,126,Before independence during the 1940's depicts the lives of poor carefree villagers who are lured to work in Tea plantation farms and how they are forced to live rest of their lives as slaves with no traces of hope and freedom.
315,Haridas,Drama,7.1,See full summary,Kumaravelan,,2013,146,Sivadas (Kishore) is tough-talking encounter specialist in the police department. He has a mission to pin down a gangster and mercenary and is hot on his trail. But life changes for the ...                See full summary »
316,Aarohanam,Drama,6.7,See full summary,Lakshmi Ramakrishnan,,2012,90,"Every cloud has a silver lining and Aarohanam showcases the brighter side of a mental disorder, along with all the trials and turbulence of such a life. In an age where the morbidity of ...                See full summary »"
317,Kumki,Drama,7.0,Prabu Solomon,Vikram Prabhu,"1,231",2012,148,The love between a mahout and an elephant.
318,Neethaane En Ponvasantham,Romance,6.5,Gautham Vasudev Menon,Jiiva,"1,500",2012,153,The story revolves through three different life stages of Varun and Nithya's life.
319,Naduvula Konjam Pakkatha Kaanom,Comedy,8.2,Balaji Tharaneetharan,Vijay Sethupathi,"4,530",2012,162,"A young man forgets a few years of his life, even as he is about to get married."
320,Thuppakki,Action,7.9,A.R. Murugadoss,Joseph Vijay,"22,577",2012,165,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
321,Pizza,Horror,8.0,Karthik Subbaraj,Vijay Sethupathi,"6,528",2012,127,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.
322,Naan,Crime,7.5,Jeeva Shankar,Vijay Antony,"1,365",2012,135,A hopeless orphan impersonates his dead co-passenger for his educational purpose and gets into trouble.
323,The Fly,Action,7.7,S.S. Rajamouli,J.V.V. Sathyanarayana,"20,590",2012,145,A murdered man is reincarnated as a housefly and seeks to avenge his death.
324,Kalakalappu,Comedy,6.9,Sundar C.,Vimal,"1,019",2012,135,"When seenu loses the girl he loves , Raghu loses seenu's hotel in a card game. Now seenu must get back his girl and his hotel while 10 diamonds make the situation more complicated."
325,Vazhakku Enn 18/9,Crime,8.3,Balaji Sakthivel,Sri,"1,915",2012,124,A girl gets in trouble when her boyfriend films her private moments on his mobile phone without her knowledge.
326,Mouna Guru,Action,7.7,Santha Kumar,Arulnithi,746,2011,153,A young man's life undergoes a world of change when he has to face a few corrupt police officials.
327,7 Aum Arivu,Action,6.2,A.R. Murugadoss,Suriya,"9,479",2011,160,A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.
328,Vaagai Sooda Vaa,Comedy,8.0,A. Sarkunam,Vimal,,2011,123,"Vimal was sent by his father to do social service in a village. But later, he gets a good job."
329,Mankatha,Action,7.6,Venkat Prabhu,Ajith Kumar,"12,276",2011,155,A game of chase and get chased ensues after a suspended cop is betrayed by two men who helped him and another officer rob cricket betting money.
330,Kanchana: Muni 2,Comedy,6.5,Lawrence Raghavendra,Lawrence Raghavendra,"1,044",2011,160,All hell breaks loose when Raghava is possessed by an evil spirit.
331,Deiva Thirumagal,Drama,8.1,A.L. Vijay,Vikram,,2011,162,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family."
332,Vaanam,Action,7.2,Radha Krishna Jagarlamudi,T.R. Silambarasan,"1,307",2011,140,"There are 5 stories in this movie, which joins together in the climax."
333,Ko,Action,7.8,K.V. Anand,Jiiva,"4,759",2011,128,"Ashwin, a photojournalist, finds out that his classmate and a famous politician, Vasanthan, has links with the Naxalites. Will he manage to expose Vasanthan's treacherous motive as a politician?"
334,Payanam,Action,7.3,Radha Mohan,Nagarjuna Akkineni,677,2011,115,"The movie deals with the stance of the government officials on such a serious issue and how a belated decision will make a situation worse, in an already edgy circumstance."
335,Yutham Sei,Crime,8.0,Myshkin,Cheran,"1,678",2011,160,A common man's ability to defeat the devil. A cop identifies the mystery and solves the problem.
336,Aadukalam,Action,8.1,Vetrimaaran,Dhanush,"4,456",2011,160,"In a village in South India, rearing roosters, maintaining them and using them for fights are a way of life and a matter of honor and lifeline to many people."
337,Aaranya Kaandam,Action,8.6,Thiagarajan Kumararaja,Sampath Raj,"3,339",2010,126,A mob boss must deal with a disgruntled mistress and a vanishing bag of cocaine.
