MovieName,Director,Music Director,Genre,Cast,Review,Censorship,Month
Paagan (U),Mohammed Aslam,James Vasanthan,Comedy,"Cast: Srikanth Krishnamachari, Janani Iyer, Kovai Sarala",36%,(U),Sep
Sundarapandian (U),Prabhakaran,N R Raghunathan,Comedy,"Cast: Sasikumar M, Lakshmi Menon",66%,(U),Sep
Pon Kumaran,Pon Kumaran,Sundar Babu,Drama,"Cast: Priyamani , Seetha , Saranya Ponvannan, Skanda",43%,(U),Sep
Anbazhagan,Anbazhagan,Imman D,Drama,"Cast: Samuthirakani , Thambi Ramaiah",49%,(U),Sep
Thaandavam,Vijay A.l.,G.v. Prakash Kumar,Action,"Cast: Vikram , Anushka Shetty, Amy Jackson, Santhanam",58%,(U),Sep
English Vinglish,Gauri Shinde,Amit Trivedi,Drama,Casr: Ajith,70%,(U),Oct
Maattrraan (U),K.v Anand,Harris Jayaraj,Action,"Cast: Suriya Sivakumar, Kajal Agarwal",64%,(U),Oct
Perarasu,Perarasu,Perarasu,Drama,"Cast: Bharath , Sunaina , Raj Kiran, Pandiarajan",17%,(U),Oct
Pizza (U/A),Karthik Subburaj,Santhosh Narayanan,Mystery,"Cast: Vijay Sethupathi, Remya Nambeesan, Karunakaran , Aadukalam Naren, Bobby Simha, Pooja Ramachandran",77%,(U/A),Oct
Podaa Podi (U),Vignesh Shivan,Dharan,Romance,"Cast: Silambarasan Rajendar, Shobana , Varalaxmi Sarathkumar",59%,(U),Nov
Thuppakki (U),Murugadoss A.r.,Harris Jayaraj,Action,"Cast: Vijay Chandrasekhar, Kajal Agarwal, Jayaram , Sathyan , Vidyut Jamwal, Deepthi Nambiar, Zakir Hussain 
                                 Drama",74%,(U),Nov
Ammavin Kaipesi (U),Thangar Bachan,Rohit Kulkarni,Family,"Cast: Shanthanoo Bhagyaraj, Iniya , Thangar Bachan, Meenal",40%,(U),Nov
Naduvula Konjam Pakkatha Kanom (U),Balaji Tharaneetharan,Ved Shankar,Comedy,"Cast: Vijay Sethupathi, Gayathri",68%,(U),Nov
Kumki (U),Prabhu Solomon,Imman D,Adventure,"Cast: Vikram Prabhu, Lakshmi Menon, Thambi Ramaiah, Sreejith Ravi, Yaar Kannan",71%,(U),Dec
Neethaane En Ponvasantham,Gautham Menon,Ilaiyaraja,Love,"Cast: Jiiva Choudry, Samantha Prabhu",51%,(U/A),Dec
