MovieName,Director,Music Director,Genre,Cast,Review,Censorship,Month
Vallavanukku Pullum Ayudham (U),Srinath,Siddarth Vippin,Comedy,"Cast: Santhanam , Ashna Zaveri",44%,(U),May
Kochadaiiyaan (U),Soundarya Rajnikanth,A.r. Rahman,Animation,"Cast: Rajinikanth , Deepika Padukone, Aadhi , Nassar , Shobana , Jackie Shroff, Sarathkumar R 
                                 Drama",60%,(U),May
Manjapai (U),Naveen Raghavan,N R Raghunathan,Drama,"Cast: Vimal , Lakshmi Menon, Rajkiran",46%,(U),Jun
Un Samayal Araiyil (U),Prakash Raj,Ilaiyaraja,Family,"Cast: Prakash Raj , Sneha",50%,(U),Jun
Mundasupatti (U),Ram,Sean Roldan,Comedy,"Cast: Vishnu Vishal, Nandita , Kaali Venkat, Ramadoss",63%,(U),Jun
Athithi (U/A),Bharathan,Bharadwaj,Drama,"Cast: Nikesh Ram,",46%,(U/A),Jun
Saivam (U),Vijay A.l.,G.v. Prakash Kumar,Family,"Cast: Nassar , Sara Arjun, Vidya Pradeep",64%,(U),Jun
Arima Nambi (U),Anand Shankar,Sivamani,Thriller,"Cast: Vikram Prabhu, Priya Anand, Lekha Washington, Ms Bhaskar",58%,(U),Jul
Gnana Rajasekaran,Gnana Rajasekaran,Ramesh Vinayagam,Drama,"Cast: Abhinay Vaddi, Bhama",56%,(U),Jul
H Vinod,H Vinod,Sean Roldan,Drama,"Cast: Natraj, Ishara Nair, Ponvannan",67%,(U),Jul
Velai Illa Pattathari (U),Velraj K,Anirudh Ravichander,Drama,"Cast: Dhanush , Amala Paul, Saranya Ponvannan, Samuthirakani , Vivek , Surabhi",65%,(U),Jul
Anis,Anis,Ghibran M,Romance,"Cast: Jai , Nazriya Nazim, Pandiarajan , Mayilsamy",41%,(U),Jul
Jigarthanda (U/A),Karthik Subburaj,Santhosh Narayanan,Action,"Cast: Siddharth Narayan, Lakshmi Narayan, Bobby Simha, Karunakaran , Vijay Sethupathi, Aadukalam Naren, Delhi Ganesh 
                                 Drama",76%,(U/A),Aug
Sarabham (U/A),Arun Mohan,Britto Michael,Crime,"Cast: Naveen Chandra, Saloni Luthra, Aadukalam Naren",58%,(U/A),Aug
Anjaan (U),Lingusamy N,Yuvan Shankar Raja,Action,"Cast: Suriya Sivakumar, Samantha Prabhu, Vidyut Jamwal, Manoj Bajpai, Soori, Brahmanandam",39%,(U),Aug
Kathai Thiraikadhai Vasanam Iyakkam,Parthiban R,Sathya,Drama,"Cast: Santhosh Pratap, Akhila Kishore, Thambi Ramaiah",60%,,Aug
L.g.ravichandar,L.g.ravichandar,Simon,,,36%,(U),Aug
Salim (U/A),Nirmal Kumar,Vijay Antony,Crime,"Cast: Vijay Antony, Aksha Pardasany",54%,(U/A),Aug
Irumbu Kuthirai (U),Yuvaraj,G.v. Prakash Kumar,Action,"Cast: Adharvaa Murali, Priya Anand, Johnny Tri Nguyen, Lakshmi Rai, Jagan, Mano Bala , Mayilsamy 
                                 Drama",35%,(U),Aug
Amara Kaaviyam (U/A),Jeeva Sankar,Ghibran M,Love,"Cast: Sathya , Mia George, Thambi Ramaiah",49%,(U/A),Sep
Thanukumar,Thanukumar,M.s. Jones,Thriller,"Cast: Harish Kalyan, Aadukalam Naren, Ajay Rathnam, Mayilsamy",53%,,Sep
Tharanitharan,Tharanitharan,Sudharshan M Kumar,Drama,"Cast: Michael Thangadurai, Reshmi Menon",50%,(U/A),Sep
