review
"Very best film.
SK's Blockbuster movie of the year
👌👌👌👌Good Story.. Verithanam...
❤❤❤❤🤘🤘🤘🤘🎉🎉🎉🎉
🎉🎉🎉🎉🎉👌👌👌👌👌👌👌
👌👌👌👌👌🎉🎉"
Vera level Padam kandipa ellarum paka vendi ah padam... sk acting really very nice..bgm semmaya irunthuchi...ps mithran super sir nenga chance ah illa...
ACTION KING ARJUN SIR SUPER AND SK VERY GOOD MOVIE  IS AMAZING PLZ MUST WACH THIS FAMILY GOOD MESSAGE...😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
Nice Film. The message is nice. Cinematography is fantastic and BGM is always Yuvan's fort. Kalyani has made her debut worth watching with a good performance. The comedy for siva is clicking after many movies.
👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌
this movie good inspiration for our youngsters and our children. so everyone must see this movie.. don't see like entertainment you guys get that content
such a good movie... every parents must watch... very strong content.. the way director carry this film was very cool... day by day Siva Anna acting was improved... action King was the real hero... the movie takes it's time to  introduce the hero it was acceptable... must watch film
SK'S biggest BLOCKBUSTER ever 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
nice movie bcoz of education system ma pathii sollu erukanga eppa erukara education system ah youngsters la athula eruntha veliya varanum nice concept
"A required message on eduction system, goes deep into our mind. Stage well set for mass hero , message oriented movie, good acting by all artists"
Sivakarthikeyan did what he said...Arjun sir's screen presence gave xtra support... Sivakarthikeyan's school look gave me a original skol boy feel.
"Director has well researched to make this a different movie compared to usual super hero movie. this superhero movie doesn't use lots of vfx, action sequences and science like Marvel cinematic universe but only relies on a well written screenplay. what amazed me is the way he elevated mass and sentimental scenes by not letting audience guess what gonna happen next. I happened to see some first time response of people coming out of theatre critisising screenplay and with disappointed face !! what do you expect a cliche superhero with lots of crappy vfx like krish3 or 2.0 that relies on technology rather than a solid script ??? there might be some sequences that questions logic but since I'm not so brilliant to critisise those i never minded those but was fully immersed into the beauty created by ps mithran. cinematography , bgm , action , direction was too good 💥🙏🏻  
Performance wise it's Action king Arjun who shined in mist if the parts. Siva had minimal role as a superhero and arjun's performance will make you understand why he is called action king !! it was a throwback to his old times where he was at his best. siva did what he was asked to do and lead heroine has nothing much to do. A must watch for all indian parents !! 
only negative was that you may find some cliche narration is some part as well in the script but considering it as a superhero movie that's negligible. yuvans bgm and George c willaims cinematography  elavated  every mass scenes to it best. some frames were jst lit 😍💯 concept is simple but screenplay and making made the difference. 
Rating : 8/10"
good...copy paste from all shankar movies.. ggood.. Good good...copy paste from all shankar movies.. ggood.. Good good...copy paste from all shankar movies.. ggood.. Good
Robo missing the second half  Good story best experience and and good news everything ok and love is not sutialble SK super act Arjun also fine
"Nice emotional movie for peoples who is having social responsibility and parents. Once again SK delivered inspirational movie like velaikaran. 
Initially it started with little note and songs made irritation to watch. But movie fine to good pace after it enters into main story"
"wonderful movie, taking us in an adventure of reality, definitely will help the parents to understand the irrelevance of marks of the students for a wonderful career. from the students point of view, will make the students to study practically. yuvan music is awesome, at some places we forget ourselves and go deep into the subject because of his music. Great Necessary Movie to watch."
nice attempt . slightly missing some blockbuster element . sk has choosen best subject but could've performed better .  body language must change depending upon the subject . overall a cool attempt
it's a paisa vasool movie and a family entertainer.  kudos to SK for accepting the script which provides more weightage to Arjun's character. technically very much in acceptable standards for the budget
